component_id,endpoint_id,http_call,params
scenario-analysis.component,/scenario-analysis,this.http.post(/scenario-analysis; data; this.httpOptions);,post(data: IScenarioNew)
scenario-analysis-modal-impacted-manufacturing.component,/scenario-analysis,this.http.get(/scenario-analysis; options);,get(search: ISearchArgs)
scenario-analysis-modal-impacted-manufacturing.component,/scenario-analysis-impacted-manufacturing,this.http.get(`${ /scenario-analysis-impacted-manufacturing }/${ scenarioID }`; options);,getImpactedManufacturing(scenarioID: number; search: ISearchArgs)
scenario-analysis-modal-impacted-manufacturing.component,/scenario-analysis-impact,this.http.get(`${ /scenario-analysis-impact }`; options);,getImpact(type: string; parents: Array<number>; children: Array<number>; search: ISearchArgs)
scenario-analysis-modal-impacted-manufacturing.component,/scenario-analysis-impacted-manufacturing,this.http.get(`${ /scenario-analysis-impacted-manufacturing }/${ scenarioID }/${ moID }`; this.httpOptions);,getImpactedManufacturingDetails(scenarioID: number; moID: number; search: ISearchArgs)
scenario-analysis-modal-new.component,/scenario-analysis,this.http.get(/scenario-analysis; options);,get(search: ISearchArgs)
scenario-analysis-modal-new.component,/scenario-analysis,this.http.get(`${ /scenario-analysis }/${ id }`; this.httpOptions);,getDetails(id: number)
scenario-analysis-modal-impacted-items.component,/scenario-analysis,this.http.get(/scenario-analysis; options);,get(search: ISearchArgs)
scenario-analysis-modal-impacted-items.component,/scenario-analysis-impacted-items,this.http.get(`${ /scenario-analysis-impacted-items }/${ id }`; options);,getImpactedItems(id: number; search: ISearchArgs)
scenario-analysis-modal-impacted-items.component,/scenario-analysis-impact,this.http.get(`${ /scenario-analysis-impact }`; options);,getImpact(type: string; parents: Array<number>; children: Array<number>; search: ISearchArgs)
scenario-analysis-modal-impacted-forecast.component,/scenario-analysis,this.http.get(/scenario-analysis; options);,get(search: ISearchArgs)
scenario-analysis-modal-impacted-forecast.component,/scenario-analysis-impacted-forecast,this.http.get(`${ /scenario-analysis-impacted-forecast }/${ scenarioID }`; options);,getImpactedForecast(scenarioID: number; search: ISearchArgs)
scenario-analysis-modal-impacted-forecast.component,/scenario-analysis-impact,this.http.get(`${ /scenario-analysis-impact }`; options);,getImpact(type: string; parents: Array<number>; children: Array<number>; search: ISearchArgs)
scenario-analysis-modal-impacted-forecast.component,/scenario-analysis-impacted-forecast,this.http.get(`${ /scenario-analysis-impacted-forecast }/${ scenarioID }/${ foID }`; this.httpOptions);,getImpactedForecastDetails(scenarioID: number; foID: number; search: ISearchArgs)
scenario-analysis-modal-impacted-demand.component,/scenario-analysis,this.http.get(/scenario-analysis; options);,get(search: ISearchArgs)
scenario-analysis-modal-impacted-demand.component,/scenario-analysis-impacted-demand,this.http.get(`${ /scenario-analysis-impacted-demand }/${ scenarioID }`; options);,getImpactedDemand(scenarioID: number; search: ISearchArgs)
scenario-analysis-modal-impacted-demand.component,/scenario-analysis-impact,this.http.get(`${ /scenario-analysis-impact }`; options);,getImpact(type: string; parents: Array<number>; children: Array<number>; search: ISearchArgs)
scenario-analysis-modal-impacted-demand.component,/scenario-analysis-impacted-demand,this.http.get(`${ /scenario-analysis-impacted-demand }/${ scenarioID }/${ soID }`; this.httpOptions);,getImpactedDemandDetails(scenarioID: number; soID: number; search: ISearchArgs)
scenario-analysis-modal-impacted-inventory.component,/scenario-analysis,this.http.get(/scenario-analysis; options);,get(search: ISearchArgs)
