component_id,endpoint_id,http_call,params
sales-order-modal-new.component,/sales-order,this.http.put(/sales-order + '/' + data.id.toString(); data; this.httpOptions);,put(data: ISalesOrderSave)
sales-order-modal-new.component,/sales-order,this.http.post(/sales-order; data; this.httpOptions);,post(data: ISalesOrderSave)
sales-order-modal-new.component,url,this.http.delete(url; this.httpOptions);,delete(id: number)
sales-order-modal-new.component,/sales-order-details,this.http.delete(`${ /sales-order-details }/${ id }`; this.httpOptions);,deleteDetail(id: number)
sales-order-table.component,/sales-order,this.http.get<ISalesOrderGETResponse>(/sales-order; options);,get(search: ISearchArgs; scenario?: number)
sales-order-table.component,/sales-order,this.http.get<ISalesOrderDetailsGETResponse>(/sales-order; options);,getDetails(id?: number; search?: ISearchArgs; scenario?: number)
item-master.component,/item-master,this.http.delete(`${ /item-master }/${ id }`; this.httpOptions);,deleteItemMaster(id: number)
item-master.component,/job,this.http.post(`${ /job }/${ job }`; postData; this.httpOptions);,post(job: string; data?: FormData)
item-master.component,/templates,this.http.post(/templates; data; this.httpOptionsFile);,postTemplates(data: ITemplateType)
item-master-modal-new.component,/item-master,this.http.get<IItemMasterGETResponse>(/item-master; options);,getItemMaster(search: ISearchArgs)
item-master-modal-new.component,/item-master,this.http.get<ISubItemMasterGETResponse>(`${ /item-master }/${ itemNumber }`; options);,getItemMasterDetails(itemNumber: number; search?: ISearchArgs)
item-master-modal-new.component,/item-master,this.http.post(/item-master; data; this.httpOptions);,postItemMaster(data: IItemMasterPOSTRequest)
item-master-modal-new.component,/item-master,this.http.put(/item-master + '/' + data.id.toString(); data; this.httpOptions);,putItemMaster(data: IItemMasterSave)
item-master-modal-new.component,/sub-item-master,this.http.delete(`${ /sub-item-master }/${ id }`; this.httpOptions);,deleteSubItemMaster(id: number)
sub-item-master-modal-move.component,/sub-item-master,this.http.put(/sub-item-master + '/' + data.id.toString(); data; this.httpOptions);,putSubItemMaster(data: IMoveSubItem)
item-master-table.component,/item-master,this.http.get<IItemMasterGETResponse>(/item-master; options);,getItemMaster(search: ISearchArgs)
item-master-table.component,/item-master,this.http.get<ISubItemMasterGETResponse>(`${ /item-master }/${ itemNumber }`; options);,getItemMasterDetails(itemNumber: number; search?: ISearchArgs)
admin-roles.component,/role,this.http.get<IRoleListGETResponse>(/role; options);,getRoleList(search?: ISearchArgs)
admin-roles.component,/role,this.http.get<IRoleDetailsGETResponse>(`${ /role }/${ id }`; options);,getRoleDetails(id: number; search?: ISearchArgs)
admin-roles.component,/role,this.http.delete(`${ /role }/${ id }`; this.httpOptions);,deleteRole(id: number)
admin-roles-modal-new.component,/role,this.http.get<IRoleListGETResponse>(/role; options);,getRoleList(search?: ISearchArgs)
admin-roles-modal-new.component,/role,this.http.get<IRoleDetailsGETResponse>(`${ /role }/${ id }`; options);,getRoleDetails(id: number; search?: ISearchArgs)
admin-roles-modal-new.component,/role,this.http.put(/role + '/' + data.id.toString(); data; this.httpOptions);,putRole(data: IRoleSave)
admin-roles-modal-new.component,/role,this.http.post(/role; data; this.httpOptions);,postRole(data: IRoleSave)
admin-roles-modal-new.component,/privilege,this.http.delete(`${ /privilege }/${ id }`; this.httpOptions);,deletePrivilege(id: number)
dashboard-sales-performance.component,/views,this.http.get<IViewsGETResponse>(/views; options);,get(search: ISearchArgs)
sales-performance-lead-time-histogram.component,/sales-performance/lead-time-histogram,this.http.get(/sales-performance/lead-time-histogram; options);,getLeadTimeHistogram(bucket: EAggregationBucket; search: ISearchArgs)
sales-performance-graph-lines.component,/sales-performance/graph-lines,this.http.get(/sales-performance/graph-lines; options);,getPerformanceGraphLines(commitDate: ECommitDate; search: ISearchArgs)
sales-performance-on-time-over-time.component,/sales-performance/on-time-over-time,this.http.get(/sales-performance/on-time-over-time; options);,getOnTimeOverTime(bucket: EAggregationBucket; commit: ECommitDate; search: ISearchArgs)
sales-performance-days-late.component,/sales-performance/days-late,this.http.get(/sales-performance/days-late; options);,getDaysLate(commitDate: ECommitDate; search: ISearchArgs)
sales-performance-order-per-delivery-date.component,/sales-performance/order-lines-by-delivery-date,this.http.get(/sales-performance/order-lines-by-delivery-date; options);,getOrdersbyDeliveryDate(bucket: EAggregationBucket; search: ISearchArgs)
dashboard-inventory-planning.component,/dashboard-inventory-planning,this.http.get<IDashboardInventoryPlanningGETResponse>(/dashboard-inventory-planning; options);,getDashboardInventoryPlanning(search: ISearchArgs)
views-share-modal.component,/views,this.http.get<IViewsGETResponse>(/views; options);,get(search: ISearchArgs)
views-share-modal.component,/views-shared,this.http.get<IViewsSharedGETResponse>(`${ /views-shared }/${ viewID }`; this.httpOptions);,getShared(viewID: number)
views-share-modal.component,/views,this.http.post(/views; data; this.httpOptions);,post(data: IViewsPOSTRequest)
views-share-modal.component,/views-shared,this.http.post(/views-shared; data; this.httpOptions);,postShared(data: IViewsSharedPOSTRequest)
views-share-modal.component,/user,this.http.get(/user + `/${id}`; this.httpOptions);,getUserDetails(id: number = this.authenticationService.getUserID())
views-share-modal.component,/views,this.http.delete(`${ /views }/${ id }`; this.httpOptions);,delete(id: number)
modal-ending-inventory.component,/dashboard-heatmap,this.http.get<IDashboardHeatmapGETResponse>(/dashboard-heatmap; options);,get(type: string; by: string; search: ISearchArgs; scenario?: number)
modal-ending-inventory.component,/dashboard-heatmap,this.http.get<IDashboardHeatmapItemsGETResponse>(`${ /dashboard-heatmapItems }/${ id }`; options);,getEndingInventoryTransactions(id: number; search: ISearchArgs; date: string; type: string; scenario?: number)
inventory.component,/job,this.http.post(`${ /job }/${ job }`; postData; this.httpOptions);,post(job: string; data?: FormData)
inventory.component,/templates,this.http.post(/templates; data; this.httpOptionsFile);,postTemplates(data: ITemplateType)
inventory.component,/inventory,this.http.delete(/inventory; options);,delete(inventoryID: number; itemID: number)
inventory-modal-containing-item.component,/scenario-analysis,this.http.get(/scenario-analysis; options);,get(search: ISearchArgs)
inventory-modal-containing-item.component,/scenario-analysis-inventory-item,this.http.get<IInventoryItemGETResponse>(`${ /scenario-analysis-inventory-item }/${ scenarioID }/${ itemID }`; options);,getInventoryItem(scenarioID: number; itemID: number; search: ISearchArgs)
inventory-modal-containing-item.component,/inventory,this.http.get<IInventoryGETResponse>(/inventory; options);,get(search: ISearchArgs)
inventory-modal-containing-item.component,/inventory-item,this.http.get<IInventoryItemGETResponse>(`${ /inventory-item }/${ id }`; options);,getItem(id: number; search: ISearchArgs)
inventory-table.component,/inventory,this.http.get<IInventoryGETResponse>(/inventory; options);,get(search: ISearchArgs)
inventory-table.component,/inventory,this.http.get<IInventoryDetailsGETResponse>(`${ /inventory }/${ itemNumber }`; options);,getDetails(itemNumber: number; search?: ISearchArgs)
inventory-modal-new.component,/inventory,this.http.get<IInventoryGETResponse>(/inventory; options);,get(search: ISearchArgs)
inventory-modal-new.component,/inventory,this.http.get<IInventoryDetailsGETResponse>(`${ /inventory }/${ itemNumber }`; options);,getDetails(itemNumber: number; search?: ISearchArgs)
inventory-modal-new.component,/inventory,this.http.post(/inventory; data; this.httpOptionsFormData);,post(data: IInventoryItemsSave)
inventory-modal-new.component,/inventory,this.http.delete(/inventory; options);,delete(inventoryID: number; itemID: number)
supplier-master.component,/supplier-master,this.http.delete(`${ /supplier-master }/${ id }`; this.httpOptions);,deleteSupplierMaster(id: number)
supplier-master.component,/job,this.http.post(`${ /job }/${ job }`; postData; this.httpOptions);,post(job: string; data?: FormData)
supplier-master.component,/templates,this.http.post(/templates; data; this.httpOptionsFile);,postTemplates(data: ITemplateType)
supplier-master-table.component,/supplier-master,this.http.get<ISupplierMasterGETResponse>(/supplier-master; options);,getSupplierMaster(search: ISearchArgs)
supplier-master-table.component,/supplier-master,this.http.get<IShipFromMasterGETResponse>(`${ /supplier-master }/${ id }`; options);,getSupplierMasterDetails(id: number; search?: ISearchArgs)
supplier-master-modal-new.component,/supplier-master,this.http.get<ISupplierMasterGETResponse>(/supplier-master; options);,getSupplierMaster(search: ISearchArgs)
supplier-master-modal-new.component,/supplier-master,this.http.get<IShipFromMasterGETResponse>(`${ /supplier-master }/${ id }`; options);,getSupplierMasterDetails(id: number; search?: ISearchArgs)
supplier-master-modal-new.component,/supplier-master,this.http.put(/supplier-master + '/' + data.id.toString(); data; this.httpOptions);,putSupplierMaster(data: ISupplierMasterSave)
supplier-master-modal-new.component,/supplier-master,this.http.post(/supplier-master; data; this.httpOptions);,postSupplierMaster(data: ISupplierMasterPOSTRequest)
supplier-master-modal-new.component,/ship-from-master,this.http.delete(`${ /ship-from-master }/${ id }`; this.httpOptions);,deleteShipFromMaster(id: number)
issue-tracker.component,/issue-tracker-tickets,this.http.get<IIssueTrackerTicketGETResponse>(/issue-tracker-tickets; options);,get(search: ISearchArgs)
issue-tracker.component,/issue-tracker-tickets,this.http.delete(`${ /issue-tracker-tickets }/${ id }`; this.httpOptions);,delete(id: string)
issue-tracker-note.component,/issue-tracker-tickets,this.http.put(`${ /issue-tracker-tickets }/${ id }`; data; this.httpOptions);,put(id: string; data: IIssueTrackerTicket)
issue-tracker-note.component,/issue-tracker-notes,this.http.put(`${ /issue-tracker-notes }/${ id }`; data; this.httpOptions);,putNote(id: number; data: IIssueTrackerTicketNote)
issue-tracker-note.component,/issue-tracker-tickets,this.http.delete(`${ /issue-tracker-tickets }/${ id }`; this.httpOptions);,delete(id: string)
issue-tracker-note.component,/issue-tracker-notes,this.http.delete(`${ /issue-tracker-notes }/${ id }`; this.httpOptions);,deleteNote(id: number)
admin-billing.component,/billing,this.http.get(/billing; this.httpOptions);,getBilling()
admin-billing.component,/invoice,this.http.get(/invoice; options);,getInvoices(search: ISearchArgs)
admin-billing.component,/invoice,this.http.get(`${ /invoice }/${ id }`; this.httpOptionsFile);,getInvoice(id: string)
admin-billing.component,/billing,this.http.post(/billing; {}; this.httpOptions);,postBilling()
admin-billing.component,/billing,this.http.put(/billing; data; this.httpOptions);,putBilling(data: IBillingPUTRequest)
manufacturing-order.component,/manufacturing-order,this.http.delete(`${ /manufacturing-order }/${ id }`; this.httpOptions);,delete(id: number)
manufacturing-order.component,/job,this.http.post(`${ /job }/${ job }`; postData; this.httpOptions);,post(job: string; data?: FormData)
manufacturing-order.component,/templates,this.http.post(/templates; data; this.httpOptionsFile);,postTemplates(data: ITemplateType)
manufacturing-order-modal-bom.component,/manufacturing-order,this.http.get<IManufacturingOrderGETResponse>(/manufacturing-order; options);,get(search: ISearchArgs)
manufacturing-order-modal-bom.component,/manufacturing-order-bom,this.http.get(`${ /manufacturing-order-bom }/${ id }`; options);,getBoM(id: number; search: ISearchArgs)
manufacturing-order-modal-containing-item.component,/scenario-analysis,this.http.get(/scenario-analysis; options);,get(search: ISearchArgs)
manufacturing-order-modal-containing-item.component,/scenario-analysis-manufacturing-item,this.http.get<IManufacturingOrderItemGETResponse>(`${ /scenario-analysis-manufacturing-item }/${ scenarioID }/${ itemID }`; options);,getManufacturingItem(scenarioID: number; itemID: number; search: ISearchArgs)
manufacturing-order-modal-containing-item.component,/manufacturing-order,this.http.get<IManufacturingOrderGETResponse>(/manufacturing-order; options);,get(search: ISearchArgs)
manufacturing-order-modal-containing-item.component,/manufacturing-order-item,this.http.get(`${ /manufacturing-order-item }/${ id }`; options);,getItem(id: number; search: ISearchArgs)
manufacturing-order-modal-details.component,/manufacturing-order,this.http.get<IManufacturingOrderGETResponse>(/manufacturing-order; options);,get(search: ISearchArgs)
manufacturing-order-modal-details.component,/manufacturing-order,this.http.get<IManufacturingOrderDetailsGETResponse>(`${ /manufacturing-order }/${ id }`; options);,getDetails(id: number; search?: ISearchArgs)
manufacturing-order-modal-new.component,/manufacturing-order,this.http.get<IManufacturingOrderGETResponse>(/manufacturing-order; options);,get(search: ISearchArgs)
manufacturing-order-modal-new.component,/manufacturing-order,this.http.get<IManufacturingOrderDetailsGETResponse>(`${ /manufacturing-order }/${ id }`; options);,getDetails(id: number; search?: ISearchArgs)
manufacturing-order-modal-new.component,/sub-item-master,this.http.get<ISubItemMasterGETResponse>(/sub-item-master; options);,getSubItemMaster(search: ISearchArgs)
manufacturing-order-modal-new.component,/item-master,this.http.get<IItemMasterGETResponse>(/item-master; options);,getItemMaster(search: ISearchArgs)
manufacturing-order-modal-new.component,/manufacturing-order,this.http.put(`${ /manufacturing-order }/${ data.id }`; data; this.httpOptions);,put(data: IManufacturingOrderNew)
manufacturing-order-modal-new.component,/manufacturing-order,this.http.post(/manufacturing-order; data; this.httpOptions);,post(data: IManufacturingOrderNew)
manufacturing-order-modal-new.component,/manufacturing-order,this.http.delete(`${ /manufacturing-order }/${ id }`; this.httpOptions);,delete(id: number)
manufacturing-order-modal-new.component,/manufacturing-order-details,this.http.delete(`${ /manufacturing-order-details }/${ id }`; this.httpOptions);,deleteDetail(id: number)
manufacturing-order-table.component,/manufacturing-order,this.http.get<IManufacturingOrderGETResponse>(/manufacturing-order; options);,get(search: ISearchArgs)
manufacturing-order-table.component,/manufacturing-order,this.http.get<IManufacturingOrderDetailsGETResponse>(`${ /manufacturing-order }/${ id }`; options);,getDetails(id: number; search?: ISearchArgs)
modal-customer-item-number.component,/external-item-master,this.http.get<IExternalItemMasterGETResponse>(/external-item-master; options);,get(search: ISearchArgs)
modal-customer-item-number.component,/external-item-master,this.http.get<IExternalItemMasterDetailsGETResponse>(`${ /external-item-master }/${ id }`; options);,getDetails(id: number; search?: ISearchArgs)
modal-customer-item-number.component,/external-item-master,this.http.put(`${ /external-item-master }/${ id }`; data; this.httpOptions);,put(id: number; data: IExternalItemMasterPUTRequest)
inventory-trend-matrix-table.component,/inventory,this.http.get<IInventoryGETResponse>(/inventory; options);,get(search: ISearchArgs)
inventory-trend-matrix-table.component,/inventory-trend-matrix,this.http.get<IInventoryTrendMatrixGETResponse>(/inventory-trend-matrix; options);,getInventoryTrendMatrix(search: ISearchArgs; aggregation: number; view: IInventoryTrendMatrixView; scenario: number)
inventory-trend-matrix-modal-details.component,/inventory,this.http.get<IInventoryGETResponse>(/inventory; options);,get(search: ISearchArgs)
inventory-trend-matrix-modal-details.component,/inventory-trend-matrix,this.http.get<IInventoryTrendMatrixGETResponse>(/inventory-trend-matrix; options);,getInventoryTrendMatrix(search: ISearchArgs; aggregation: number; view: IInventoryTrendMatrixView; scenario: number)
inventory-trend-matrix-modal-details.component,/inventory-trend-matrix,this.http.get<IInventoryTrendMatrixDetailsGETResponse>(`${ /inventory-trend-matrix }/${ id }`; options);,getInventoryTrendMatrixDetails(id: number; date: string; aggregation: number; scenario: number; search: ISearchArgs)
forecast.component,/forecast,this.http.delete(`${ /forecast }/${ id }`; this.httpOptions);,deleteForecast(id: number)
forecast.component,/job,this.http.post(`${ /job }/${ job }`; postData; this.httpOptions);,post(job: string; data?: FormData)
forecast.component,/templates,this.http.post(/templates; data; this.httpOptionsFile);,postTemplates(data: ITemplateType)
forecast-modal-details.component,/forecast,this.http.get<IForecastListGETResponse>(/forecast; options);,getForecastList(search: ISearchArgs)
forecast-modal-details.component,/forecast,this.http.get<IForecastDetailsGETResponse>(`${ /forecast }/${ foNumber }`; options);,getForecastDetails(foNumber: number; search?: ISearchArgs)
forecast-modal-containing-item.component,/scenario-analysis,this.http.get(/scenario-analysis; options);,get(search: ISearchArgs)
forecast-modal-containing-item.component,/scenario-analysis-forecast-item,this.http.get<IForecastItemGETResponse>(`${ /scenario-analysis-forecast-item }/${ scenarioID }/${ itemID }`; options);,getForecastItem(scenarioID: number; itemID: number; search: ISearchArgs)
forecast-modal-containing-item.component,/forecast-item,this.http.get<IForecastItemGETResponse>(`${ /forecast-item }/${ id }`; options);,getForecastItem(id: number; search: ISearchArgs)
forecast-table.component,/forecast,this.http.get<IForecastListGETResponse>(/forecast; options);,getForecastList(search: ISearchArgs)
forecast-table.component,/forecast,this.http.get<IForecastDetailsGETResponse>(`${ /forecast }/${ foNumber }`; options);,getForecastDetails(foNumber: number; search?: ISearchArgs)
forecast-modal-new.component,/forecast,this.http.get<IForecastDetailsGETResponse>(`${ /forecast }/${ foNumber }`; options);,getForecastDetails(foNumber: number; search?: ISearchArgs)
forecast-modal-new.component,/sub-item-master,this.http.get<ISubItemMasterGETResponse>(/sub-item-master; options);,getSubItemMaster(search: ISearchArgs)
forecast-modal-new.component,/item-master,this.http.get<IItemMasterGETResponse>(/item-master; options);,getItemMaster(search: ISearchArgs)
forecast-modal-new.component,/forecast,this.http.put(/forecast + '/' + data.id.toString(); data; this.httpOptions);,putForecast(data: IForecastSave)
forecast-modal-new.component,/forecast,this.http.post(/forecast; data; this.httpOptionsFormData);,postForecast(data: IForecastSave)
forecast-modal-new.component,/forecast,this.http.delete(`${ /forecast }/${ id }`; this.httpOptions);,deleteForecast(id: number)
forecast-modal-new.component,/forecast-details,this.http.delete(`${ /forecast-details }/${ id }`; this.httpOptions);,deleteForecastDetail(id: number)
modal-table.component,/api,this.http.get<ITableDataGETResponse | ICollapseTableDataGETResponse>(/api + uriPath; options);,getAnyUriData(uriPath: string; search: ISearchArgs; optionParams?: any; id?: number; scenario?: number)
modal-sales-performance-days-late.component,/sales-performance/days-late,this.http.get(/sales-performance/days-late; options);,getDaysLate(commitDate: ECommitDate; search: ISearchArgs)
modal-prioritized-item-inventory.component,/inventory,this.http.get<IInventoryGETResponse>(/inventory; options);,get(search: ISearchArgs)
modal-prioritized-item-inventory.component,/inventory-planning,this.http.get<IInventoryPlanningGETResponse>(/inventory-planning; options);,getInventoryPlanning(search: ISearchArgs; view: IInventoryPlanningView; scenario: number)
modal-prioritized-item-inventory.component,url,this.http.get(,getPrioritizedItemInventory(id: number; search?: ISearchArgs; scenario?: number)
collapse-wide-table.component,/help,this.http.post(/help; data; this.httpOptions);,post(data: IHelpPOSTRequest)
abstract-menu.component,/views,this.http.get<IViewsGETResponse>(/views; options);,get(search: ISearchArgs)
abstract-menu.component,url,this.http.put(url; data; this.httpOptions);,put(id: number; data: IViewsPUTRequest)
abstract-menu.component,/views,this.http.delete(`${ /views }/${ id }`; this.httpOptions);,delete(id: number)
abstract-menu.component,/export-data,this.http.post<IDashboardHeatmapGETResponse>(/export-data; data; options);,postExportData(data: IExportDataPOSTRequest; search: ISearchArgs)
performance-orders.component,/performance-orders,this.http.get<IPerformanceOrders>(/performance-orders; options);,get(type: string; commitDate: ECommitDate; status: string; search: ISearchArgs)
table.component,/help,this.http.post(/help; data; this.httpOptions);,post(data: IHelpPOSTRequest)
collapse-table.component,/help,this.http.post(/help; data; this.httpOptions);,post(data: IHelpPOSTRequest)
